Company Name,Website,Linkedin URL
AZUL Energy,https://www.azul-energy.co.jp/en/,https://www.linkedin.com/company/azul-energy-inc/about/
Accacia,https://accacia.ai/,https://www.linkedin.com/company/accacia
Active Surfaces,Activesurfaces.xyz,https://www.linkedin.com/company/activesurfaces/
AiDash,https://aidash.com,https://www.linkedin.com/company/aidash
AlGreen,algreen.tech/,https://www.linkedin.com/company/algreen
Amini,https://www.amini.ai/,https://www.linkedin.com/company/amini-technologies/
Ampersand,https://ampersand.solar,https://www.linkedin.com/company/ampersand-energy/
Ampersand E-Mobility,https://www.ampersand.solar/,https://www.linkedin.com/company/ampersand-energy/
Anzen Climate Wall,anzenwalls.co.uk,https://www.linkedin.com/company/anzen-walls/
AquaBattery,https://aquabattery.nl,https://www.linkedin.com/company/aquabattery
Ascend Elements,https://ascendelements.com,https://www.linkedin.com/company/ascendelements/
"Avnos, Inc.",avnos.com,https://www.linkedin.com/company/avnos-inc/
Baobab+ Nigeria,https://baobabplus.com,https://www.linkedin.com/company/baobabplus/
Bedrock Materials,https://bedrock.inc/,https://www.linkedin.com/company/bedrock-materials/
Blisce,https://blisce.com,https://www.linkedin.com/company/blisce
BluSmart,https://www.blu-smart.com/en-IN/,https://www.linkedin.com/company/blu-smart-mobility/
CU Boulder,colorado.edu,https://www.linkedin.com/school/cuboulder/
Caeli Wind,https://caeli-wind.de,https://www.linkedin.com/company/caeli-wind/
Cancrie,cancrie.co,https://www.linkedin.com/company/cancrie
Captura Corporation,https://capturacorp.com/,https://www.linkedin.com/company/capturaco2/
Carbon Cell,https://www.carboncell.co,https://www.linkedin.com/company/carbon-cell
CarbonCapture Inc.,https://carboncapture.com,https://www.linkedin.com/company/carbon-capture-inc/
CarbonHQ,http://carbonhq.earth/,https://www.linkedin.com/company/carbon-hq/
CarbonPool,https://www.carbonpool.earth/,https://www.linkedin.com/company/carbonpool/
Cetasol,https://cetasol.com,https://www.linkedin.com/company/cetasol
Clairity Technology,https://www.clairitytech.com/,https://www.linkedin.com/company/clairity-tech/
Climate Alpha,https://alphageo.ai,https://www.linkedin.com/company/climate-alpha
Clyde Hydrogen Systems,https://clydehydrogen.com/,https://www.linkedin.com/company/clyde-hydrogen-systems
Cowboy Clean Fuels,https://www.cowboycleanfuels.com,https://www.linkedin.com/company/cowboy-clean-fuels/
Cultivo,https://cultivo.land,https://www.linkedin.com/company/cultivo/
Cyclize,https://cyclize.de,https://www.linkedin.com/company/cyclize
Cylib,https://www.cylib.de,https://www.linkedin.com/company/cylib-gmbh/
DTU - Technical University of Denmark,https://dtu.dk,https://www.linkedin.com/school/technical-university-of-denmark
DTU Earthbound,https://www.earthbound.dtu.dk,https://www.linkedin.com/company/earthboundone/
Dotz Nano Limited,dotz.tech,https://www.linkedin.com/company/dotznano
Ecofy,ecofy.co.in/,https://www.linkedin.com/company/ecofyfinance/
Electric Hydrogen,https://eh2.com,https://www.linkedin.com/company/electric-h2/
Emissions Reduction Alberta (ERA),https://eralberta.ca,https://www.linkedin.com/company/emissions-reduction-alberta-era-/
Encentive,encentive.de/,https://www.linkedin.com/company/encentive/
Energy Source,http://www.energysource.com.br/,https://www.linkedin.com/company/energy-source-industria/
EnergyLab,https://energylab.org.au,https://www.linkedin.com/company/energylab-international/
Eslando,https://www.eslando.com,https://www.linkedin.com/company/eslando
Evercloak,https://evercloak.com,https://www.linkedin.com/company/evercloak
Fermtech,https://fermtech.co.uk,https://www.linkedin.com/company/fermtech
Founderful,http://www.founderful.com,https://www.linkedin.com/company/founderfulvc/
Gaia Sciences Innovation,Not Provided,Not Provided
GeoPura,https://geopura.com,https://www.linkedin.com/company/geopura
Heimdal,heimdalccu.com,https://www.linkedin.com/company/heimdalccu/
Heura Foods,heurafoods.com,https://www.linkedin.com/company/heura-foods/
Hexafarms,https://hexafarms.com,https://www.linkedin.com/company/hexafarms
Hippo Harvest,http://hippoharvest.com/,https://www.linkedin.com/company/hippo-harvest
Hohm Energy,https://hohmenergy.com,https://www.linkedin.com/company/hohm-energy
Holiferm,https://holiferm.com,https://www.linkedin.com/company/holiferm
HysetCo,https://hysetco.com,https://www.linkedin.com/company/hysetco
IFC,https://ifc.org,https://www.linkedin.com/company/ifclinkedin/
IGS (Intelligent Growth Solutions),https://www.intelligentgrowthsolutions.com/,https://www.linkedin.com/company/intelligent-growth-solutions-limited/
Iceberg Data Lab,https://icebergdatalab.com,https://www.linkedin.com/company/iceberg-data-lab
Impact Shakers,https://impactshakers.com,https://www.linkedin.com/company/impact-shakers/
InspiraFarms,https://inspirafarms.com,https://www.linkedin.com/company/inspirafarms/
Ivy Energy,https://ivy-energy.com,https://www.linkedin.com/company/ivyenergy
Jejakin,https://jejakin.com,https://www.linkedin.com/company/jejakin
Jooules,https://jooules.com,https://www.linkedin.com/company/jooules
KisanKonnect,https://www.kisankonnect.in/,https://www.linkedin.com/company/kisankonnect
Klarna,https://klarna.com,https://www.linkedin.com/company/klarna
Koa Switzerland,https://koa-impact.com,https://www.linkedin.com/company/koaswitzerland/about/
Koloma,https://koloma.com/,https://www.linkedin.com/company/kolomainc/
Kubik,https://www.buildkubik.com/,https://www.linkedin.com/company/buildkubik/
"Kubik, Inc.",buildkubik.com,https://www.linkedin.com/company/buildkubik/?originalSubdomain=et
Li Industries,https://www.li-ind.com,https://www.linkedin.com/company/li-industries/
LiNova Energy Inc,https://www.linovaenergy.com/,https://www.linkedin.com/company/linova-energy
Loamist,http://www.loamist.com/,https://www.linkedin.com/company/loamist/
Lohum Cleantech,https://www.lohum.com/,https://www.linkedin.com/company/lohum
Lumo,https://lumo.ag,https://www.linkedin.com/company/lumo-systems/
MazaoHub,https://mazaohub.com,https://www.linkedin.com/company/mazaohub
Microsoft,https://microsoft.com,https://www.linkedin.com/company/microsoft
Mintz Energy & Sustainability,https://www.mintz.com,https://www.linkedin.com/company/mintz-law
Mocean Energy,https://mocean.energy,https://www.linkedin.com/company/mocean-energy
Monaire,monaire.ai/,https://www.linkedin.com/company/monaire
Montauk Climate,https://montaukclimate.com,https://www.linkedin.com/company/montauk-climate
Mott Corporation,https://mottcorp.com,https://www.linkedin.com/company/mott-corporation
NGen,https://www.ngen.ca,https://www.linkedin.com/company/ngencanada/
Ndustrial,https://ndustrial.io,https://www.linkedin.com/company/ndustrial-inc
Northstar Clean Technologies,https://www.northstarcleantech.com,https://www.linkedin.com/company/northstarcleantech/
Northvolt Ett AB,https://northvolt.com,https://www.linkedin.com/company/northvolt/
Novocarbo,https://novocarbo.com,https://www.linkedin.com/company/novocarbo
OpenAI,https://openai.com,https://www.linkedin.com/company/openai
Persistent Energy,https://persistent.energy,https://www.linkedin.com/company/persistentnrg/
Planet A Foods,https://planet-a-foods.com/,https://www.linkedin.com/company/planetafoods/
Polar Night Energy,https://polarnightenergy.fi,https://www.linkedin.com/company/polar-night-energy-oy/
Polar Night Energy Oy,https://polarnightenergy.com,https://www.linkedin.com/company/polar-night-energy-oy/
ProducePay,https://producepay.com,https://www.linkedin.com/company/produce-pay/
Recurrent Energy,https://recurrentenergy.com,https://www.linkedin.com/company/recurrentenergy/
Recykal,https://recykal.com,https://www.linkedin.com/company/recykal
Remy,https://remyapp.io,https://www.linkedin.com/company/taste-dont-waste
Rize,https://rize.farm,https://www.linkedin.com/company/rizefarm/about/
Roam,https://www.roam-electric.com/,https://www.linkedin.com/company/roamofficial/
SAEL,https://www.sael.co/,https://www.linkedin.com/company/saelindustries/
SAEL Limited,https://www.sael.co/,https://www.linkedin.com/company/saelindustries/
SIDBI,http://www.sidbiventure.co.in,https://www.linkedin.com/company/sidbi-venture-capital-limited/about/
SOSV,https://sosv.com,https://www.linkedin.com/company/sosv
SUBLIME Energy,https://sublime-energie.com,https://www.linkedin.com/company/sublime-energie
Sage Geosystems,https://sagegeosystems.com,https://www.linkedin.com/company/sage-geosystems
Sage Geosystems Inc.,https://sagegeosystems.com,https://www.linkedin.com/company/sage-geosystems/
Satgana,https://satgana.com,https://www.linkedin.com/company/satgana
SkyTruth,https://skytruth.org,https://www.linkedin.com/company/skytruth
Sparxell,https://sparxell.com,https://www.linkedin.com/company/sparxell
Statera Energy,https://stateraenergy.co.uk,https://www.linkedin.com/company/statera-energy-limited/
SunCulture,https://sunculture.com,https://www.linkedin.com/company/sunculture-kenya-limited/
Synapses,https://synapses.vc,https://www.linkedin.com/company/synapses-people-and-planet/about/
TagEnergy,tag-en.com/,https://www.linkedin.com/company/tagenergy
Tandem PV,https://www.tandempv.com,https://www.linkedin.com/company/tandem-pv/
Tau Group,https://tau.group,https://www.linkedin.com/company/taugroup/
Thea Energy,https://theaenergy.com/,https://www.linkedin.com/company/thea-energy
Thryve.Earth,https://thryve.earth,https://www.linkedin.com/company/thryve-earth/
Toyota,https://toyota.com,https://www.linkedin.com/company/toyota
Trawa,https://trawa.de,https://www.linkedin.com/company/trawa-energy/
UniFAHS,https://unifahs.com,https://www.linkedin.com/company/unifahs
WMCA,https://wmca.org,https://www.linkedin.com/company/western-maine-community-action/
Watershed,watershed.com,https://www.linkedin.com/company/watershedclimate/
Wavemaker Impact,https://wavemakerimpact.com,https://www.linkedin.com/company/wavemaker-impact
Xefco,https://xefco.com,https://www.linkedin.com/company/xefco
Zanskar Geothermal & Minerals,https://www.zanskar.com/,https://www.linkedin.com/company/zanskar/
Zeroe,http://zeroe.io,https://www.linkedin.com/company/zeroe-io
